id,description,Título
1,A Assombração da Casa da Colina - Shirley Jackson romance Romance Terror Ficção gótica Terror psicológico Romance psicológico literatura americana 1959,A Assombração da Casa da Colina (1)
2,"A Cidade do Sol - Khaled Hosseini Drama Romance Protagonistas Femininas Afeganistão opressão, violência, preconceito e humilhação Desigualdade de gênero Sociedade machista",A Cidade do Sol (2)
3,A Fera na Selva - HenryJames Literaturaamericana Realismo Novela Terceirapessoa Biografia Solidão Destino Amor Morte,A Fera na Selva (3)
4,A Guerra Que Me Ensinou a Viver - Kimberly Brubaker Drama familiar Segunda Guerra Mundial Londres Protagonista feminina Personagens fortes e bem escritos Sensibilidade Refugiados Amadurecimento Aceitação Suspense Realista,A Guerra Que Me Ensinou a Viver (4)
5,A Guerra que Salvou a Minha Vida - Kimberly Brubaker Drama familiar Londres Segunda Guerra Mundial Protagonista feminina Superação conflitos Suspense Realista,A Guerra que Salvou a Minha Vida (5)
6,A Lâmina da Assassina: Trono de Vidro - SarahJMass TronoDeVidro Fantasia Ação Aventura Drama Romance Épico Assassinato IntrigasPolíticas Batalhas  ,A Lâmina da Assassina: Trono de Vidro (6)
7,A lógica Inexplicável da Minha Vida - Benjamin Alire Sáenz Ficção Romance/ Drama Luto Solidão Adoção Adolescência Preconceito Sexualidade Violência Sentimentos crus Personagens Complexos,A Lógica Inexplicável da Minha Vida (7)
8,A Menina Que Roubava Livros - Marcus Zusak Ficção Drama Morte Refugiados Judeus Segunda Guerra Mundial Alemanha Amizade Família Sobrevivência Confiança,A Menina Que Roubava Livros (8)
9,A Metamorfose - FranzKafka Literaturaalemã Novela Terceirapessa Metáforas Hipocrisia Dignidadehumana Autodeterminação Redesignaçãodesexo Esquecimento Realidade,A Metamorfose (9)
10,A Moreninha - Joaquim Manuel de Macedo clássico literaturabrasileira 1844 sociedadeburguesa primeirapessoa romance romantismobrasileiro amorverdadeiro,A Moreninha (10)
11,A Morte de Ivan Ilitch - LievTolstói Literaturarussa Romance Novela Terceirapessoa Aparênciassociais Superficialidade Hipocrisia Altasociedade Doençaterminal Sofrimento,A Morte de Ivan Ilitch (11)
12,A mulher do Viajante no Tempo - Audrey Niffenegger ausência romance ficçãocientífica literaturafantástica 2003 primeirapessoa,A mulher do Viajante no Tempo (12)
13,A Mulher na Janela - a.j.finn nova york medo terror misterio,A Mulher na Janela (13)
14,"A Noiva Fantasma - Yangsze Choo romance História de fantasma Ficção histórica Literatura fantástica, Terror literatura britanica 2013",A Noiva Fantasma (14)
15,A Volta ao Mundo em 80 Dias - Júlio Verne Romance aventura ficção onisciente terceirapessoa literaturafrancesa 1873,A Volta ao Mundo em 80 Dias (15)
16,A Volta do Parafuso - HenryJames Literaturainglesa Fantasia Novela Primeirapessoa Fantasmas Confusão Suspense,A Volta do Parafuso (16)
17,A Zona Morta - stephen king estados unidos suspense terror,A Zona Morta (17)
18,Água para Elefantes - Sara Gruen 2006 amorverdadeiro primeirapessoa romance história drama envolvente circo discriminação detalhado,Água para Elefantes (18)
19,Alice no País das Maravilhas - Lewis Carroll Romance aventura fantasia infantil mulheresfortes onisciente terceirapessoa literaturabritanica 1865,Alice no País das Maravilhas (19)
20,Amar Verbo Intransitivo - Mário de Andrade 1927 romance ficção polêmico literaturabrasileira modernismo terceirapessoa linguagemcoloquial,Amar Verbo Intransitivo (20)
21,Anjos e Demônios - DanBrown  AnjoseDemônios     Romance    Suspense    Ação   Ficçãopolicial     EstadosUnidos      CiênciavsReligião    Bestseller    Filme ,Anjos e Demônios (21)
22,Anna Karênina - Liev Tolstói 1877 realismoliterário clássico romance romancehistórico literaturarussa ciúme fé fidelidade desejocarnal espiritualismo,Anna Karênina (22)
23,As Aventuras de Pi - YannMartel Aventura Ação Fantasia Drama Sobrevivência Naufrágio Reflexão Índia Bestseller Filme,As Aventuras de Pi (23)
24,As Crônicas de Nárnia - C.S. Lewis romance crônica fantasia aventura ação livroinfantojuvenil onisciente terceirapessoa literaturabritanica 1950 mundofantastico mulheresfortes criançasprotagonistas,As Crônicas de Nárnia (24)
25,As Fúrias Invisíveis do Coração - John Boyne Homossexualismo Romance Drama Preconceito Adoção Drama Familiar Irlanda Década de 40,As Fúrias Invisíveis do Coração (25)
26,Assassinato no Expresso do Oriente - agatha christie reino unido romance policial suspense terror romance,Assassinato no Expresso do Oriente (26)
27,Aura - CarlosFuentes Literaturamexicana Novela Segundapessoa Sobrenatural Fantasma Amor Morte RealXirreal,Aura (27)
28,Autobiografia de um Ex-Negro - JamesWeldonJohnson Literaturaafro-americana Romance Primeirapessoa Novela Ficção Homembirracial Experiências Raçanegra Preconceito,Autobiografia de um Ex-Negro (28)
29,"Bartleby, o Escrivão - HermanMelville Literaturaamericana Conto Novela Primeirapessoa Reflexão Angústia Rotina Ambiente de trabalho","Bartleby, o Escrivão (29)"
30,Bird Box - Josh Malerman romancepósapocalíptico Romance Terror Suspense Ficção pós-apocalíptica literatura britânica 2014,Bird Box (30)
31,Boneco de Neve- jo nesbo brasil romance misterio,Boneco de Neve (31)
32,Bufo e Spallanzani - rubem fonseca romance policial brasil drama suspense,Bufo e Spallanzani (32)
33,Capitães da Areia - Jorge Amado Romance Drama Violência Urbana Abuso Sexual Prostituição Desigualdade Social Salvador Bahia Brasil Criminalidade Realista Romance de 30 Segunda Geração Modernista Prosa,Capitães da Areia (33)
34,Carrie - Stephen King romanceepistolardeterror Terror Romance epistolar literatura américana 1974,Carrie (34)
35,Como Eu Era Antes de Você - Jojo Moyes 2012 romance drama adaptação intenso literaturaamericana paralisia,Como Eu Era Antes de Você (35)
36,Conjurador: O Aprendiz - TaranMatharu Conjurador Ação Ficção Fantasia Aventura Guerra  AutorBestseller Demônios  ClássicosFantasia  CastasSociais Bullying Colegial  DesigualdadeSocial,Conjurador: O Aprendiz (36)
37,Coração Satânico - william parker nova york investigação suspense,Coração Satânico (37)
38,Coraline - Neil Gaiman novelafantásticadeterror Conto de fadas Terror Literatura infantil Fantasia sombria Literatura fantástica literatura britânica 2002,Coraline (38)
39,Crônica de uma Morte Anunciada - GabrielGarcíaMárquez Literaturaespanhola Romance Novela Primeirapessoa Assassinato Tragédia Vingança Interior,Crônica de uma Morte Anunciada (39)
40,Decamerão - GiovanniBoccaccio Literaturaitaliana Conto Novela Terceirapessoa Pestenegra Sagacidade Lições Valores Condutadohomem,Decamerão (40)
41,Deuses Americanos - Neil Gaiman Romance aventura fantasia realismo onisciente terceirapessoa literaturabritanica 2001 dinheiro a televisão a tecnologia as drogas cadeia,Deuses Americanos (41)
42,Diário de um Banana - Jeff Kinney diário crônica infanto-juvenil livroinfantil primeirapessoa literaturaamericana 2007 vidaescolar,Diário de um Banana (42)
43,Diário de uma paixão - Nicholas Sparks romance drama amorverdadeiro reencontros primeirapessoa 1996 literaturaamericana,Diário de uma Paixão (43)
44,Dom Casmurro - Machado de Assis 1899 clássico literaurabrasileira primeirapessoa realismoliterário romance ficção sociedadebrasileira ciúmes,Dom Casmurro (44)
45,Dom Quixote - Miguel de Cervantes romancefantasia aventura Paródia medieval Sátira Romancedeamor Farsa Romancehistórico Romancepsicológico onisciente terceirapessoa literaturaespanhola 1605 romancedecavalaria ,Dom Quixote (45)
46,Drácula - Bram Stoker romancedehorrorgótico Romance Ficção gótica Terror Romance epistolar Literatura fantástica Literatura de invasão fantástico literatura britânica 1897,Drácula (46)
47,É Assim Que Acaba - Colleen Hoover Romance/Drama Abuso Violência Doméstica Protagonista Feminina,É Assim Que Acaba (47)
48,Eleanor & Park - Rainbow Rowell 2012 ficçãojuvenil romance literaturaamericana primeiroamor intenso sarcástico bullying abuso preconceito terceirapessoa,Eleanor & Park (48)
49,Eragon - Christopher Paolini romance aventura ficçãocientífica ficçãojuvenil literaturafantástica altafantasia ficçãodistópica onisciente terceirapessoa literaturaamericana 2002 dragões criaturasficticeas,Eragon (49)
50,Estou atrás de você - John Ajvide Lindqvist romanceterror Terror Romance psicológico literatura americana 2016,Estou atrás de você (50)
51,Eu Estou Pensando em Acabar com Tudo - Santiago Nazarian e Iain Reid Suspense Suspense psicológico Terror Literatura americana 2017,Eu Estou Pensando em Acabar com Tudo (51)
52,Extraordinário - R.J. Palácio Bullying Preconceito Protagonista criança Síndrome genética Drama Romance,Extraordinário (52)
53,Fahenheit 451 - Ray Bradbury Romance Distópico Ficção Científica Drama Guerra Faria Suspense Censura Sociedade Americana Estados Unidos,Fahenheit 451 (53)
54,Fiquei Onde Está e Então Corra - John Boyne Romance Drama família Mulheres no Mercado de Trabalho Primeira Guerra Mundial Perda Luto infanto juvenil Trabalho infantil,Fiquei Onde Está e Então Corra (54)
55,Frankenstein - Mary Shelley romancedeterrorgótico Suspense Suspense psicológico Terror literatura britânica 2017,Frankenstein (55)
56,Games of Thrones - GeorgeMartin  AsCrônicasdeGeloeFogo   Fantasia   Tragédia     Ação    Épico     Traições    Batalhas    Morte    Sexo   Adulto ,Games of Thrones (56)
57,Garoto Encontra Garoto - David Levithan comédiaromântica preconceito discriminação insegurança primeirapessoa romance ficçãojuvenil homossexualidade,Garoto Encontra Garoto (57)
58,Guerra Mundial Z - MaxBrooks Ação Terror  FicçãoCientífica Aventura Drama Zumbi Guerra  FuturoApocalíptico,Guerra Mundial Z (58)
59,Harry Potter - J. K. Rowling Romance aventura ação magia vidaescolar onisciente terceirapessoa literaturabritanica 1997 escolademagia dragões criaturasficticeas,Harry Potter (59)
60,Histórias Extraordinárias - edgar allan poe estados unidos misterio terror suspense fantasia,Histórias Extraordinárias (60)
61,It: A coisa - Stephen King romancedeterror Romance Terror Suspense Amadurecimento Fantasia sombria literatura americana 1986,It: A coisa (61)
62,Jane Eyre - Charlotte Brontë sofrimento dramatismo críticasocial recompensa literaturavitoriana ficçãogótica romance 1847 feminismo preconceito primeirapessoa,Jane Eyre (62)
63,KILLZ - JessicaDSantos   HerdeirosDaMáfia   Ação   Drama     Romance     Máfia    Vingança    Violência    Sexo      Inglaterra       FreeBook ,KILLZ - Herdérios da Máfia (63)
64,Leve-me com você - Catherine Ryan Hyde Drama Sensibilidade Perda Luto Alcoolismo Califórnia (EUA) Realista,Leve-me com você (64)
65,Madame Bovary - Gustave Flaubert 1856 clássico realismoliterário literaturafrancesa romance ficção adultério suicídio terceirapessoa,Madame Bovary (65)
66,Mamba Negro: Combate ao Novo Cangaço - EduardoBettini Ação Policial Crime Violência Brasil  FacçõesCriminosas Estratégia Realístico  CríticaSocial,Mamba Negro: Combate ao Novo Cangaço (66)
67,Manhã Transfigurada - LuizAntoniodeAssis Literaturabrasileira Drama Novela Terceirapessoa Triânguloamoroso Ciúme Virgindade Patriarcalismo Autoritarismo,Manhã Transfigurada (67)
68,Mau Começo – Desventuras em Série - Lemony Snicket romancegótico aventura tragédia sátira onisciente onipresente terceirapessoa literaturaamericana 1999,Mau Começo – Desventuras em Série (68)
69,Maze Runner: Correr ou Morrer - JamesDashner     MazeRunner      Ação   Suspense   Ficção científica   Mistério FuturoApocalíptico       Utopia      EstadosUnidos      Filme ,Maze Runner: Correr ou Morrer (69)
70,Mentes criminosas - SergioPereiraCouto Ação Aventura Suspense Mistério Policial Ficção Assassinato  EstadosUnidos Estratégia Psicológico,Mentes Criminosas (70)
71,Mistborn: Nascidos da Bruma - BrandonSanderson  Mistborn Aventura Ação Fantasia Policial  Magia  Profecia Heroico Revolução Bestseller,Mistborn: Nascidos da Bruma (71)
72,Mitologia Nórdica - NeilGaiman Aventura Ação Lendas  FantasiaEscandinava Mitologia Mitos,Mitologia Nórdica (72)
73,Morte em Veneza - ThomasMann Literaturaalemã Drama Novela Terceirapessoa Paixãoplatônica Homossexualidade Beleza,Morte em Veneza (73)
74,Não Fale com Estranhos - Harlan Coben romance Romance Ficção Mistério Suspense literatura britânica 2015,Não Fale com Estranhos (74)
75,Ninfeias Negras - michel bussi romance policial frança crimes assedio,Ninfeias Negras (75)
76,Novela de Xadrez - StefanZweig Literaturaalemã Novela Primeirapessoa Cultura Metáforas Navioavapor Jogadores Desafio Raciocínio,Novela de Xadrez (76)
77,O Alienista - MachadodeAssis Literaturabrasileira Conto Novela Terceirapessoa Infertilidade Teoria Mentehumana Loucura Conduta Egoísmo,O Alienista (77)
78,O Amor nos Tempos do Cólera - Gabriel García Márquez 1985 amorverdadeiro literaturacolombiana romance ficção realismomágico terceirapessoa,O Amor nos Tempos do Cólera (78)
79,O Aprendiz – As Aventuras do Caça Feitiço - Joseph Delaney Romance aventura fantasia magia livroinfantojuvenil primeirapessoa literaturabritanica 2004 magia destino,O Aprendiz – As Aventuras do Caça-Feitiço (79)
80,O Cemitério - Stephen King romancedeterror Terror literatura americana 1983,O Cemitério (80)
81,O Chamado de Cthulhu - H. P. Lovecraft contodehorror terror Literatura americana 2011,O Chamado de Cthulhu (81)
82,O Código de Da Vinci - Tom Egeland Romance aventura Mistério Suspense ficçãopolicial históriadedetetives thrillerdeconspiração onisciente terceirapessoa literaturanoroeguesa 2003,O Código de Da Vinci (82)
83,O Colecionador - john fowles inglês suspense terror misterio,O Colecionador (83)
84,O Conto da Ilha Desconhecida - JoséSaramago Literaturaportuguesa Juvenil Novela Primeirapessoa Metáforas Mundo Serhumano Ambições Frustrações,O Conto da Ilha Desconhecida (84)
85,O Diário de Anne Frank - Anne Frank Drama Familiar Segunda Guerra Mundial Realista Holocausto Judeus Refugiados Alemanha,O Diário de Anne Frank (85)
86,O Exército de um Homem só - MoacyrScliar Literaturabrasileira Novela Terceirapessoa Utopia Oposições Religiosidade,O Exército de um Homem Só (86)
87,O Exorcista - William Peter Blatty romancedeterror Romance terror literatura americana 1971,O Exorcista (87)
88,O Fantasma da Ópera - GastoLerousc Literaturafrancesa Romancegótico Novela Terceirapessoa Musical Fantasma Libertação Chantagem Triânguloamoroso Ciúmes,O Fantasma da Ópera (88)
89,O Homem de Giz - c.j.tudor policial suspense misterio inglaterra medo suspense,O Homem de Giz (89)
90,O Homem Invisível - H. G. Wells noveladeficçãocientífica Romance Ficção científica Terror Romance científico literatura americana 1897,O Homem Invisível (90)
91,O Iluminado - Stephen King romancedehorror Romance Terror Ficção gótica Suspense Terror psicológico Ficção supernatural literatura americana 1977,O Iluminado (91)
92,O Livro de Cam: Unforgiven - LaurenKate  Fallen Aventura Ficção Ação Romance Fantasia Inferno Anjos Demônios EnsinoMédio,O Livro de Cam: Unforgiven (92)
93,O Menino do Pijama Listrado - John Boyne Drama Fábula Segunda Guerra Mundial Holocausto Amizades em tempo de guerra infanto juvenil,O Menino do Pijama Listrado (93)
94,O Mistério - agatha christie reino unido romance policial suspense misterio,O Mistério (94)
95,O Morro dos Ventos Uivantes - Emily Brontë 1847 literaturainglesa romance ficçãogótica tragédia narrativasombria primeirapessoa clássico,O Morro dos Ventos Uivantes (95)
96,O Nome do Vento - PatrickRothfuss  ACrônicaDoMatadorDoRei Ação Fantasia Romance Psicológico Magia Anti-herói Mitos,O Nome do Vento (96)
97,O Olho do Mundo - RobertoJordan  TheWheelOfTime Romance Fantasia Ação  FicçãoCientífica LivrosLongos Profecia Guerra ProtagonismoDividido,O Olho do Mundo (97)
98,O Orfanato da Srta. Peregrine para as Crianças Peculiares - Ransom Riggs romance Romance Ficção juvenil Literatura infantil Terror Fantasia sombria Literatura fantástica literatura americana 2011,O Orfanato da Srta. Peregrine para as Crianças Peculiares (98)
99,O Peregrino - john bunyan reino unido alegoria religiosa suspense,O Peregrino (99)
100,O Peso do Pássaro Morto - Aline Bei Drama Protagonista Feminina Poesia Prosa Diário Infância Adolescência Adultos Idosos Perda Luto Sensibilidade Sofrimento,O Peso do Pássaro Morto (100)
101,O Silêncio dos Inocentes - Thomas Harris romance Suspense terror drama mistério literatura americana 1988,O Silêncio dos Inocentes (101)
102,O Sorriso da Hiena - gustavo avila são paulo psicologico suspense terror,O Sorriso da Hiena (102)
103,O Último dos Magos - LisaMaxwell  Fantasia Ação Magia  Romance  Anti-heroína  ViagemNoTempo  CastasSociais Traição  NovaYork Bestseller,O Último dos Magos (103)
104,Olhai os Lírios do Campo - Érico Veríssimo felicidade segurança literaturabrasileira decepções ficçãoliterária modernismo conflitos vicissitudes terceirapessoa,Olhai os Lírios do Campo (104)
105,Ordem Vermelha: Filhos da Degradação - FelipeCastilho  OrdemVermelha Ação Aventura Fantasia Mitos revolução Estratégia Batalhas  CastasSociais Opressão  QuestionamentoDaMoral,Ordem Vermelha: Filhos da Degradação (105)
106,Orgulho e Preconceito - Jane Austen 1813 clássico feminismo primeirapessoa romancedecostumes sátira ficção literaturabritânica preconceito séculoXIX,Orgulho e Preconceito (106)
107,Os Goonies - James Khan Romance aventura mistério exploração ficção de aventura onisciente terceirapessoa literaturaamericana 2013,Os Goonies (107)
108,P.S. Eu te Amo - Cecelia Ahern 2003 amoreterno superação terceirapessoa romance comédia drama literaturairlandesa luto,P.S. Eu te Amo (108)
109,Pegasus e o Fogo do Olimpo - KateO’Hearn Pegasus Fantasia Aventura Ação  MundosParalelos Guerra  MitologiaGrega,Pegasus e o Fogo do Olimpo (109)
110,Percy Jackson e os Olimpianos - Rick Riordan romance aventura ação fantasia mitologiagrega primeirapessoa literaturaamericana 2005 mitologiagrega,Percy Jackson e os Olimpianos (110)
111,Piano Vermelho - Josh Malerman romance Suspense Terror Literatura fantástica Romance psicológico literatura britanica 2017,Piano Vermelho (111)
112,Por Lugares Incríveis - Jennifer Niven Depressão Suicídio Drama familiar Bullying Romance,Por Lugares Incríveis (112)
113,Princesa das Cinzas - LauraSebastian  PrincesaDasCinzas Romance Fantasia Aventura Ação Assassinato Batalhas Monarquia Sobrevivência Cárcere Estratégia Feminista  YoungAdult,Princesa das Cinzas (113)
114,Punição para Inocência - Agatha Christie romance romance policial Barbara Heliodora reino unido crime guerras abuso.,Punição para Inocência (114)
115,Quando Ela Se Foi - harlan coben crime suspense aventura,Quando Ela Se Foi (115)
116,Robinson Crusoé - Daniel Defoe Romance aventura ficçãohistórica ficçãodeaventura primeirapessoa literaturabritanica 1719,Robinson Crusoé (116)
117,Romeu e Juliana - William Shakespeare 1597 romance tragédia clássicos literaturabritânica terceirapessoa suicídio drama amorverdadeiro,Romeu e Juliana (117)
118,Saga de Um Mundo Despedaçado – O Continente Perdido - Ricardo Maciel dos Anjos romance aventura fantasia medieval RPG onisciente terceirapessoa literaturabrasileira 2012,Saga de Um Mundo Despedaçado – O Continente Perdido (118)
119,Segredos de Família - Lisa Wingate Romance Drama Familiar Suspense Perda Solidão Estudos Unidos Tráfico de Crianças Baseado em fatos reais Mulheres de personalidades fortes Ficção Passado Presente,Segredos de Família (119)
120,Sete Minutos Depois da Meia Noite - Patrick Ness Fantasia ficção Drama/Romance Suspense Exclusão Social Traumas Solidão Medo Amor Reino Unido,Sete Minutos Depois da Meia Noite (120)
121,Simplesmente Acontece - Cecelia Ahern 2014 romance comédiaromântica amordeinfância primeirapessoa reencontros literaturairlandesa,Simplesmente Acontece (121)
122,Sítio do Pica-Pau Amarelo – Caçadas de Pedrinho - Monteiro Lobato livroinfantil onisciente terceirapessoa literaturabrasileira 1933,Sítio do Pica-Pau Amarelo – Caçadas de Pedrinho (122)
123,Terras e Cinzas - AtiqRahimi Literaturafrancesa Conto Novela Terceirapessoa Bombardeio Mina Memórias Morte Pobreza Tristeza,Terras e Cinzas (123)
124,The Witcher - Andrzej Sapkowski Romance aventura magia medieval adulto onisciente onipresente terceirapessoa literaturapolonesa 1993 medieval fantasioso sexo bebida,The Witcher (124)
125,Todas as Cores do Céu - Amita Trasi Drama Familiar Prostituição Índia Realista Protagonistas - Mulheres fortes Desigualdade Social,Todas as Cores do Céu (125)
126,Tomb Raider - Dan Abnett romance aventura suspense ficcção onisciente terceirapessoa literaturabritanica 2014 mulheresfortes arqueologia,Tomb Raider (126)
127,Tudo é Eventual - stephen king estados unidos horror fantasia ficção científica,Tudo é Eventual (127)
128,Último Adeus - Catherine Ryan Hyde Fantasia Romance Contemporâneo Suicídio Superação Perda Culpa Drama familiar,Último Adeus (128)
129,Um Conto Sombrio dos Irmãos Grimm - Adam Gidwitz Fábulas aventura terror onisciente terceirapessoa literaturaamericana 2015 asreaishistoriasdoscontosdefadas,Um Conto Sombrio dos Irmãos Grimm (129)
130,Um Copo de Cólera - RaduanNassar Literaturabrasileira Drama Novela Primeirapessoa Feminismo Machismo Educação Ditaduramilitar Reflexão,Um Copo de Cólera (130)
131,Um Dia - David Nicholls 2009 romance ficcção literaturabritânica intenso envolvente amorverdadeiro cotidiano reencontros,Um Dia (131)
132,Um Jantar entre Espiões - OlenSteunhayer Romance Ação   Suspense Mistério Espiões  Sequestro terrorismo Viena,Um Jantar entre Espiões (132)
133,Um Lugar Bem Longe Daqui - delia owens estados unidos suspense misterio,Um Lugar Bem Longe Daqui (133)
134,Um Romance Perigoso - flavio carneiro rio de janeiro susepnse investigação romance,Um Romance Perigoso (134)
135,Uma Casa no Fundo de um Lago - Josh Malerman romanceSuspense terror literatura britânica 2016,Uma Casa no Fundo de um Lago (135)
136,Uma Criatura Dócil - FiódorDostoiévski Literaturarussa Conto Novela Primeirapessoa Amigodosilencio Suicídio Desejo Dependênciaamorosa Culpa Saúdemental,Uma Criatura Dócil (136)
137,Vidas Secas - GracilianoRamos Literaturabrasileira Romance Novela Terceirapessoa Sertão Nordeste Opressãosocial Seca Sofrimento Miséria,Vidas Secas (137)
138,Vinte Mil Léguas Submarinas - Júlio Verne Romance aventura ficçãocientífica ficçãoespeculativa ficçãodeaventura romancecientífico onisciente terceirapessoa literaturafrancesa 1870,Vinte Mil Léguas Submarinas (138)